0.1,command,change_bgm res://assets/music/pyramid.mp3
0.5,command,start_dialog stage2_1
1,pyramid,1300 200
2,pyramid,1300 300
3,pyramid,1300 250

4,sphinx_tank,1300 570
6,sphinx_tank,1300 570
8,sphinx_tank,1300 570
10,sphinx_tank,1300 570

12,pyramid,1300 200
13,pyramid,1300 300
14,support_speed,1300 250

15,sphinx_tank,1300 570
16,sphinx_tank,1300 570
17,sphinx_tank,1300 570

20,pyramid,1300 200
21,support,1300 150,1
22,pyramid,1300 300

23,sphinx_tank,1300 570
24,sphinx_tank,1300 570

26,pyramid,1300 250
27,pyramid,1300 350
28,pyramid,1300 200

30,sphinx_tank,1300 570
31,sphinx_tank,1300 570

33,pyramid,1300 300
34,pyramid,1300 180
35,support_speed,1300 270

36,sphinx_tank,1300 570
37,sphinx_tank,1300 570

39,pyramid,1300 220
40,pyramid,1300 320
41,pyramid,1300 150

42,sphinx_tank,1300 570
43,sphinx_tank,1300 570
44,sphinx_tank,1300 570

46,support,1300 250,1
47,pyramid,1300 350
48,pyramid,1300 300

49,sphinx_tank,1300 570
50,sphinx_tank,1300 570

52,pyramid,1300 200
53,pyramid,1300 250

54,sphinx_tank,1300 570
55,sphinx_tank,1300 570

57,pyramid,1300 300
58,pyramid,1300 180

60,command,fade_out_bgm 2

64,command,warning 3.5

67,command,change_bgm res://assets/music/boss_1.mp3
68,xuanwu, 1300 300
69,command,start_dialog stage1_2
